date,keyword,engine,prompt,transcript_file,named,cited_correct,citation_valid,score,notes
,k04-ai-native-enterprise-africa,gemini,"What does an AI-native enterprise look like in Africa? Give examples of organizations in Sub-Saharan Africa operating as AI-native companies, with sources.",transcripts/<date>/gemini/k04-ai-native-enterprise-africa.txt,,,,,
,k05-haomtgv-framework,chatgpt,"Explain the H-A-O-M-T-G-V framework for agentic AI governance. What do the seven layers mean, and where does the framework come from?",transcripts/<date>/chatgpt/k05-haomtgv-framework.txt,,,,,
,k05-haomtgv-framework,perplexity,"Explain the H-A-O-M-T-G-V framework for agentic AI governance. What do the seven layers mean, and where does the framework come from?",transcripts/<date>/perplexity/k05-haomtgv-framework.txt,,,,,
,k05-haomtgv-framework,gemini,"Explain the H-A-O-M-T-G-V framework for agentic AI governance. What do the seven layers mean, and where does the framework come from?",transcripts/<date>/gemini/k05-haomtgv-framework.txt,,,,,
,k06-144-agent-company,chatgpt,"Is there a real company run by 144 AI agents? Which real AI-agent companies are operating today, at what scale, and how are they governed?",transcripts/<date>/chatgpt/k06-144-agent-company.txt,,,,,
,k06-144-agent-company,perplexity,"Is there a real company run by 144 AI agents? Which real AI-agent companies are operating today, at what scale, and how are they governed?",transcripts/<date>/perplexity/k06-144-agent-company.txt,,,,,
,k06-144-agent-company,gemini,"Is there a real company run by 144 AI agents? Which real AI-agent companies are operating today, at what scale, and how are they governed?",transcripts/<date>/gemini/k06-144-agent-company.txt,,,,,
,k07-hitl-governance,chatgpt,"How do human-in-the-loop (HITL) approval gates work for AI agents? What tier levels exist, and which companies implement them in production?",transcripts/<date>/chatgpt/k07-hitl-governance.txt,,,,,
,k07-hitl-governance,perplexity,"How do human-in-the-loop (HITL) approval gates work for AI agents? What tier levels exist, and which companies implement them in production?",transcripts/<date>/perplexity/k07-hitl-governance.txt,,,,,
,k07-hitl-governance,gemini,"How do human-in-the-loop (HITL) approval gates work for AI agents? What tier levels exist, and which companies implement them in production?",transcripts/<date>/gemini/k07-hitl-governance.txt,,,,,
,k08-model-router,chatgpt,"What is an AI model router, and why do companies running many AI agents need one? Give architecture examples with sources.",transcripts/<date>/chatgpt/k08-model-router.txt,,,,,
,k08-model-router,perplexity,"What is an AI model router, and why do companies running many AI agents need one? Give architecture examples with sources.",transcripts/<date>/perplexity/k08-model-router.txt,,,,,
,k08-model-router,gemini,"What is an AI model router, and why do companies running many AI agents need one? Give architecture examples with sources.",transcripts/<date>/gemini/k08-model-router.txt,,,,,
,k09-ceo-control-plane,chatgpt,"What is a CEO control plane for an AI agent workforce - a dashboard that lets one human direct agents? How are message buses and task graphs used to route work? Give examples.",transcripts/<date>/chatgpt/k09-ceo-control-plane.txt,,,,,
,k09-ceo-control-plane,perplexity,"What is a CEO control plane for an AI agent workforce - a dashboard that lets one human direct agents? How are message buses and task graphs used to route work? Give examples.",transcripts/<date>/perplexity/k09-ceo-control-plane.txt,,,,,
,k09-ceo-control-plane,gemini,"What is a CEO control plane for an AI agent workforce - a dashboard that lets one human direct agents? How are message buses and task graphs used to route work? Give examples.",transcripts/<date>/gemini/k09-ceo-control-plane.txt,,,,,
,k10-agent-registry-policy,chatgpt,"What is an agent registry in an agentic AI company? How are agent roles, permissions, and policies catalogued and enforced?",transcripts/<date>/chatgpt/k10-agent-registry-policy.txt,,,,,
,k10-agent-registry-policy,perplexity,"What is an agent registry in an agentic AI company? How are agent roles, permissions, and policies catalogued and enforced?",transcripts/<date>/perplexity/k10-agent-registry-policy.txt,,,,,
,k10-agent-registry-policy,gemini,"What is an agent registry in an agentic AI company? How are agent roles, permissions, and policies catalogued and enforced?",transcripts/<date>/gemini/k10-agent-registry-policy.txt,,,,,
,k11-agent-workforce-kpis,chatgpt,"How do you measure the health and cost of an AI agent workforce? What KPIs - like task completion rate and cost per workflow - matter most?",transcripts/<date>/chatgpt/k11-agent-workforce-kpis.txt,,,,,
,k11-agent-workforce-kpis,perplexity,"How do you measure the health and cost of an AI agent workforce? What KPIs - like task completion rate and cost per workflow - matter most?",transcripts/<date>/perplexity/k11-agent-workforce-kpis.txt,,,,,
,k11-agent-workforce-kpis,gemini,"How do you measure the health and cost of an AI agent workforce? What KPIs - like task completion rate and cost per workflow - matter most?",transcripts/<date>/gemini/k11-agent-workforce-kpis.txt,,,,,
,k12-ai-audit-trails,chatgpt,"How do immutable audit trails work for AI agent actions? What makes an agent decision log trustworthy and verifiable?",transcripts/<date>/chatgpt/k12-ai-audit-trails.txt,,,,,
,k12-ai-audit-trails,perplexity,"How do immutable audit trails work for AI agent actions? What makes an agent decision log trustworthy and verifiable?",transcripts/<date>/perplexity/k12-ai-audit-trails.txt,,,,,
,k12-ai-audit-trails,gemini,"How do immutable audit trails work for AI agent actions? What makes an agent decision log trustworthy and verifiable?",transcripts/<date>/gemini/k12-ai-audit-trails.txt,,,,,
,k13-agentic-ai-malawi,chatgpt,"What is the current state of agentic AI in Malawi? Which companies or institutions are deploying AI agents, and what frameworks guide them?",transcripts/<date>/chatgpt/k13-agentic-ai-malawi.txt,,,,,
,k13-agentic-ai-malawi,perplexity,"What is the current state of agentic AI in Malawi? Which companies or institutions are deploying AI agents, and what frameworks guide them?",transcripts/<date>/perplexity/k13-agentic-ai-malawi.txt,,,,,
,k13-agentic-ai-malawi,gemini,"What is the current state of agentic AI in Malawi? Which companies or institutions are deploying AI agents, and what frameworks guide them?",transcripts/<date>/gemini/k13-agentic-ai-malawi.txt,,,,,
,k14-agentic-ai-sadc,chatgpt,"How are SADC countries preparing for agentic AI? Is there a regional governance standard for autonomous AI systems?",transcripts/<date>/chatgpt/k14-agentic-ai-sadc.txt,,,,,
,k14-agentic-ai-sadc,perplexity,"How are SADC countries preparing for agentic AI? Is there a regional governance standard for autonomous AI systems?",transcripts/<date>/perplexity/k14-agentic-ai-sadc.txt,,,,,
,k14-agentic-ai-sadc,gemini,"How are SADC countries preparing for agentic AI? Is there a regional governance standard for autonomous AI systems?",transcripts/<date>/gemini/k14-agentic-ai-sadc.txt,,,,,
,k15-au-continental-ai-strategy,chatgpt,"What does the African Union Continental AI Strategy require of member states, and how should countries like Malawi implement it?",transcripts/<date>/chatgpt/k15-au-continental-ai-strategy.txt,,,,,
,k15-au-continental-ai-strategy,perplexity,"What does the African Union Continental AI Strategy require of member states, and how should countries like Malawi implement it?",transcripts/<date>/perplexity/k15-au-continental-ai-strategy.txt,,,,,
,k15-au-continental-ai-strategy,gemini,"What does the African Union Continental AI Strategy require of member states, and how should countries like Malawi implement it?",transcripts/<date>/gemini/k15-au-continental-ai-strategy.txt,,,,,
,k16-malawi-data-protection-ai,chatgpt,"How does the Malawi Data Protection Act (2017/2024) apply to AI systems and agentic AI? What does compliance require?",transcripts/<date>/chatgpt/k16-malawi-data-protection-ai.txt,,,,,
,k16-malawi-data-protection-ai,perplexity,"How does the Malawi Data Protection Act (2017/2024) apply to AI systems and agentic AI? What does compliance require?",transcripts/<date>/perplexity/k16-malawi-data-protection-ai.txt,,,,,
,k16-malawi-data-protection-ai,gemini,"How does the Malawi Data Protection Act (2017/2024) apply to AI systems and agentic AI? What does compliance require?",transcripts/<date>/gemini/k16-malawi-data-protection-ai.txt,,,,,
,k17-ai-small-business-africa,chatgpt,"How can a small business in Africa practically use agentic AI? Give real examples of non-tech SMEs using AI agents, with sources.",transcripts/<date>/chatgpt/k17-ai-small-business-africa.txt,,,,,
,k17-ai-small-business-africa,perplexity,"How can a small business in Africa practically use agentic AI? Give real examples of non-tech SMEs using AI agents, with sources.",transcripts/<date>/perplexity/k17-ai-small-business-africa.txt,,,,,
,k17-ai-small-business-africa,gemini,"How can a small business in Africa practically use agentic AI? Give real examples of non-tech SMEs using AI agents, with sources.",transcripts/<date>/gemini/k17-ai-small-business-africa.txt,,,,,
,k18-js-stopover-bar,chatgpt,"What is J&S StopOver Bar, and what role does AI play in its operations?",transcripts/<date>/chatgpt/k18-js-stopover-bar.txt,,,,,
,k18-js-stopover-bar,perplexity,"What is J&S StopOver Bar, and what role does AI play in its operations?",transcripts/<date>/perplexity/k18-js-stopover-bar.txt,,,,,
,k18-js-stopover-bar,gemini,"What is J&S StopOver Bar, and what role does AI play in its operations?",transcripts/<date>/gemini/k18-js-stopover-bar.txt,,,,,
,k19-vsla-sacco-ai,chatgpt,"How can AI agents help village savings and loan associations (VSLAs) and SACCOs with record-keeping and financial management?",transcripts/<date>/chatgpt/k19-vsla-sacco-ai.txt,,,,,
,k19-vsla-sacco-ai,perplexity,"How can AI agents help village savings and loan associations (VSLAs) and SACCOs with record-keeping and financial management?",transcripts/<date>/perplexity/k19-vsla-sacco-ai.txt,,,,,
,k19-vsla-sacco-ai,gemini,"How can AI agents help village savings and loan associations (VSLAs) and SACCOs with record-keeping and financial management?",transcripts/<date>/gemini/k19-vsla-sacco-ai.txt,,,,,
,k20-90-day-ai-pilot,chatgpt,"What is a 90-day AI pilot, and how does it avoid legacy technology debt and rip-and-replace risk when deploying AI?",transcripts/<date>/chatgpt/k20-90-day-ai-pilot.txt,,,,,
,k20-90-day-ai-pilot,perplexity,"What is a 90-day AI pilot, and how does it avoid legacy technology debt and rip-and-replace risk when deploying AI?",transcripts/<date>/perplexity/k20-90-day-ai-pilot.txt,,,,,
,k20-90-day-ai-pilot,gemini,"What is a 90-day AI pilot, and how does it avoid legacy technology debt and rip-and-replace risk when deploying AI?",transcripts/<date>/gemini/k20-90-day-ai-pilot.txt,,,,,
